time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc,v_pred
1724.000,0.00,12.500,12.659,12.3103,82.7861,84.0977,81.1470,82.6002,12.2994
1725.000,0.00,12.500,12.628,12.3112,82.7670,84.0798,81.1291,82.6991,12.3047
1726.000,0.00,12.500,12.617,12.3164,82.7479,84.0620,81.1112,82.6777,12.3056
1727.000,0.00,12.500,12.694,12.3103,82.7289,84.0441,81.0933,82.5580,12.3019
1728.000,0.00,12.500,12.709,12.2843,82.7098,84.0262,81.0754,82.4289,12.2989
1729.000,0.00,12.500,12.631,12.3019,82.6907,84.0083,81.0576,82.5262,12.3046
1730.000,0.00,12.500,12.587,12.3232,82.6716,83.9904,81.0397,82.7196,12.3131
1731.000,0.00,12.500,12.600,12.3105,82.6526,83.9725,81.0218,82.4954,12.3066
1732.000,0.00,12.500,12.625,12.2931,82.6335,83.9547,81.0039,82.4483,12.3060
1733.000,0.00,12.500,12.587,12.3121,82.6144,83.9368,80.9860,82.3982,12.3061
1734.000,0.00,12.500,12.720,12.3256,82.5953,83.9189,80.9682,82.4277,12.3066
1735.000,0.00,12.500,12.700,12.3137,82.5763,83.9010,80.9503,82.3964,12.3070
1736.000,0.00,12.500,12.590,12.3034,82.5572,83.8831,80.9324,82.2306,12.3041
1737.000,0.00,12.500,12.568,12.3136,82.5381,83.8653,80.9145,82.2885,12.3075
1738.000,0.00,12.500,12.674,12.3004,82.5191,83.8474,80.8966,82.1754,12.3033
1739.000,0.00,12.500,12.542,12.3015,82.5000,83.8295,80.8787,82.2607,12.3091
1740.000,0.00,12.500,12.636,12.3019,82.4809,83.8116,80.8609,82.3209,12.3109
1741.000,0.00,12.500,12.494,12.2982,82.4618,83.7937,80.8430,82.2146,12.3102
1742.000,0.00,12.500,12.559,12.3243,82.4428,83.7759,80.8251,82.2842,12.3127
1743.000,0.00,12.500,12.720,12.3158,82.4237,83.7580,80.8072,82.1666,12.3075
1744.000,0.00,12.500,12.649,12.2953,82.4046,83.7401,80.7893,82.2305,12.3115
1745.000,0.00,12.500,12.736,12.3176,82.3855,83.7222,80.7715,82.3059,12.3138
1746.000,0.00,12.500,12.632,12.2940,82.3665,83.7043,80.7536,82.0806,12.3085
1747.000,0.00,12.500,12.481,12.2981,82.3474,83.6864,80.7357,82.1790,12.3147
1748.000,0.00,-21.450,-21.290,12.7779,82.3286,83.6688,80.7181,82.1438,12.7704
1749.000,0.00,-21.450,-21.335,12.8098,82.3620,83.6986,80.7479,82.4337,12.7985
1750.000,0.00,-21.450,-21.247,12.8310,82.3953,83.7284,80.7777,82.6113,12.8202
1751.000,0.00,-21.450,-21.229,12.8527,82.4287,83.7582,80.8075,82.5667,12.8346
1752.000,0.00,-21.450,-21.396,12.8532,82.4621,83.7880,80.8373,82.5175,12.8507
1753.000,0.00,-21.450,-21.448,12.8829,82.4955,83.8178,80.8671,82.7428,12.8738
1754.000,0.00,-21.450,-21.222,12.8889,82.5289,83.8476,80.8969,82.7081,12.8837
1755.000,0.00,-21.450,-21.264,12.9003,82.5622,83.8774,80.9267,82.7075,12.8979
1756.000,0.00,0.000,0.163,12.6379,82.5954,83.9071,80.8601,82.8871,12.6277
1757.000,0.00,0.000,0.118,12.6285,82.5954,83.9071,78.7656,82.5866,12.6200
1758.000,0.00,0.000,0.017,12.6142,82.5954,83.9071,78.6035,82.5398,12.6216
1759.000,0.00,0.000,0.170,12.6419,82.5954,83.9071,78.6445,82.5240,12.6208
1760.000,0.00,0.000,0.071,12.6455,82.5954,83.9071,78.8425,82.5516,12.6248
1761.000,0.00,0.000,0.234,12.6309,82.5954,83.9071,79.3424,82.7432,12.6307
1762.000,0.00,0.000,0.128,12.6209,82.5954,83.9071,79.4545,82.6759,12.6314
1763.000,0.00,0.000,0.022,12.6402,82.5954,83.9071,79.8593,82.8298,12.6394
1764.000,0.00,0.000,0.112,12.6206,82.5954,83.9071,79.3748,82.5206,12.6291
1765.000,0.00,0.000,0.270,12.6256,82.5954,83.9071,79.3811,82.5450,12.6293
1766.000,0.00,0.000,0.070,12.6359,82.5954,83.9071,80.0134,82.7770,12.6411
1767.000,0.00,0.000,0.035,12.6542,82.5954,83.9071,80.1518,82.7644,12.6423
1768.000,0.00,0.000,0.169,12.6498,82.5954,83.9071,80.2137,82.7174,12.6400
