time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
110.000,0.00,0.000,0.097,12.8332,98.6915,98.8104,94.6087,99.8516,12.8235
111.000,0.00,0.000,-0.012,12.8350,98.6915,98.8104,94.9279,99.8969,12.8288
112.000,0.00,0.000,0.014,12.8380,98.6915,98.8104,95.1584,99.9494,12.8324
113.000,0.00,0.000,0.134,12.8293,98.6915,98.8104,94.8740,99.6867,12.8249
114.000,0.00,0.000,0.168,12.8129,98.6915,98.8104,95.1746,99.7734,12.8293
115.000,0.00,0.000,0.128,12.8349,98.6915,98.8104,95.5401,99.8408,12.8340
116.000,0.00,0.000,0.259,12.8481,98.6915,98.8104,95.7658,99.9564,12.8379
117.000,0.00,0.000,0.178,12.8175,98.6915,98.8104,95.4856,99.6696,12.8319
118.000,2.50,6.134,6.243,12.7388,98.6867,98.8060,95.0799,99.5001,12.7451
119.000,5.00,12.286,12.305,12.6784,98.6725,98.7930,95.0669,99.7184,12.6674
120.000,7.50,18.475,18.735,12.5868,98.6487,98.7714,95.0452,99.4903,12.5679
121.000,10.00,24.718,24.822,12.4867,98.6154,98.7412,95.0150,99.5199,12.4782
122.000,12.50,31.035,31.213,12.3775,98.5724,98.7022,94.9761,99.3144,12.3742
123.000,15.00,29.164,29.273,12.3748,98.5196,98.6545,94.9284,99.1460,12.3813
124.000,16.82,32.889,32.939,12.3227,98.4717,98.6112,94.8851,99.2105,12.3221
125.000,18.64,36.678,36.809,12.2540,98.4180,98.5628,94.8367,99.0029,12.2502
126.000,20.45,40.539,40.725,12.1660,98.3584,98.5090,94.7829,98.7970,12.1764
127.000,22.27,44.480,44.572,12.1182,98.2928,98.4498,94.7237,98.8903,12.1117
128.000,24.09,48.506,48.620,12.0169,98.2211,98.3850,94.6589,98.4951,12.0275
129.000,25.91,50.000,50.032,11.9968,98.1441,98.3159,94.5898,98.4384,11.9888
130.000,27.73,50.000,50.088,11.9608,98.0666,98.2465,94.5204,98.3672,11.9687
131.000,29.55,50.000,50.115,11.9656,97.9891,98.1772,94.4511,98.4550,11.9547
132.000,31.36,50.000,50.183,11.9154,97.9116,98.1078,94.3817,97.9300,11.9213
133.000,33.18,50.000,50.027,11.9264,97.8342,98.0384,94.3123,98.2135,11.9176
134.000,35.00,50.000,49.994,11.9116,97.7567,97.9690,94.2429,98.0602,11.8988
135.000,36.67,50.000,50.174,11.8860,97.6792,97.8996,94.1734,97.9222,11.8783
136.000,38.33,50.000,50.141,11.8716,97.6017,97.8301,94.1040,97.8940,11.8648
137.000,40.00,50.000,50.187,11.8425,97.5242,97.7606,94.0345,97.5837,11.8416
138.000,41.67,50.000,50.163,11.8294,97.4467,97.6912,93.9651,97.3143,11.8214
139.000,43.33,50.000,50.115,11.8253,97.3692,97.6219,93.8958,97.2448,11.8087
140.000,45.00,50.000,50.022,11.8100,97.2918,97.5524,93.8263,97.4264,11.8050
141.000,46.67,50.000,50.132,11.7751,97.2143,97.4830,93.7569,97.1459,11.7841
142.000,48.33,50.000,50.102,11.7895,97.1368,97.4136,93.6875,97.3261,11.7806
143.000,50.00,45.773,46.006,11.8020,97.0593,97.3442,93.6181,97.0121,11.8162
144.000,50.00,45.773,45.782,11.7962,96.9890,97.2805,93.5544,96.9753,11.8112
145.000,50.00,45.773,46.007,11.7975,96.9187,97.2169,93.4908,96.9045,11.7993
146.000,50.00,45.773,45.843,11.7922,96.8483,97.1532,93.4271,96.7537,11.7904
147.000,50.00,45.773,45.847,11.7690,96.7780,97.0895,93.3633,96.6887,11.7824
148.000,50.00,45.773,45.909,11.7833,96.7077,97.0258,93.2997,96.7193,11.7771
149.000,50.00,45.773,45.887,11.7825,96.6373,96.9621,93.2360,96.7646,11.7736
150.000,50.00,45.773,45.949,11.7509,96.5670,96.8984,93.1723,96.4783,11.7584
151.000,50.00,45.773,46.008,11.7349,96.4967,96.8347,93.1086,96.1808,11.7432
152.000,50.00,45.773,45.758,11.7476,96.4263,96.7710,93.0449,96.2852,11.7456
153.000,50.00,45.773,45.915,11.7543,96.3560,96.7072,92.9811,96.3804,11.7424
154.000,50.00,45.773,45.851,11.7372,96.2857,96.6435,92.9174,95.9736,11.7259
155.000,50.00,-15.357,-15.095,12.5621,96.2158,96.5802,92.8541,96.0543,12.5479
156.000,48.12,-15.660,-15.468,12.5952,96.2396,96.6017,92.8756,96.4602,12.5932
157.000,46.25,-15.862,-15.622,12.6200,96.2637,96.6231,92.8970,96.5551,12.6243
158.000,44.38,-15.968,-15.783,12.6568,96.2887,96.6449,92.9188,96.6207,12.6536
159.000,42.50,-15.980,-15.832,12.6673,96.3138,96.6669,92.9408,96.6540,12.6793
160.000,40.63,-15.904,-15.866,12.7006,96.3388,96.6887,92.9626,96.7132,12.7047
161.000,38.75,-15.743,-15.564,12.7176,96.3632,96.7102,92.9841,96.6438,12.7204
162.000,36.87,-15.500,-15.346,12.7361,96.3870,96.7317,93.0056,96.6662,12.7391
163.000,35.00,23.354,23.397,12.2452,96.4106,96.7528,93.0267,96.8088,12.2407
164.000,35.00,23.354,23.511,12.2170,96.3748,96.7205,92.9944,96.4500,12.2271
165.000,35.00,23.354,23.531,12.2376,96.3391,96.6883,92.9621,96.3723,12.2244
166.000,35.00,23.354,23.448,12.2425,96.3033,96.6560,92.9299,96.3795,12.2260
167.000,35.00,23.354,23.594,12.2294,96.2675,96.6237,92.8976,96.3268,12.2223
168.000,35.00,23.354,23.486,12.2028,96.2318,96.5914,92.8653,96.0197,12.2137
169.000,35.00,23.354,23.363,12.1991,96.1960,96.5591,92.8330,95.9871,12.2146
170.000,35.00,23.354,23.617,12.2318,96.1603,96.5268,92.8007,96.0896,12.2148
171.000,35.00,23.354,23.340,12.2362,96.1245,96.4945,92.7684,96.0678,12.2181
172.000,35.00,23.354,23.352,12.2147,96.0887,96.4623,92.7361,95.9749,12.2152
173.000,35.00,23.354,23.547,12.2215,96.0530,96.4300,92.7038,95.9904,12.2135
174.000,35.00,23.354,23.525,12.2279,96.0172,96.3977,92.6715,96.0039,12.2145
175.000,35.00,23.354,23.530,12.2271,95.9814,96.3653,92.6392,96.0598,12.2167
176.000,35.00,23.354,23.591,12.2192,95.9457,96.3331,92.6070,96.0230,12.2149
177.000,35.00,23.354,23.555,12.1963,95.9099,96.3008,92.5747,95.8255,12.2091
178.000,35.00,-38.659,-38.584,13.0614,95.8746,96.2690,92.5428,95.8534,13.0495
179.000,31.50,-35.521,-35.463,13.0683,95.9319,96.3203,92.5942,96.2239,13.0502
180.000,28.00,-32.153,-32.170,13.0319,95.9841,96.3671,92.6410,96.3640,13.0379
181.000,24.50,-28.581,-28.326,13.0026,96.0310,96.4091,92.6830,96.3659,13.0106
182.000,21.00,-24.830,-24.746,12.9874,96.0722,96.4460,92.7199,96.4860,12.9880
183.000,17.50,-20.926,-20.700,12.9357,96.1075,96.4776,92.7515,96.4813,12.9522
