time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
128.000,24.09,48.506,48.620,12.0193,98.4145,98.3850,94.8053,98.6139,12.0299
129.000,25.91,50.000,50.032,11.9994,98.3456,98.3159,94.7362,98.5614,11.9913
130.000,27.73,50.000,50.088,11.9635,98.2765,98.2465,94.6668,98.4947,11.9713
131.000,29.55,50.000,50.115,11.9684,98.2074,98.1772,94.5975,98.5871,11.9574
132.000,31.36,50.000,50.183,11.9183,98.1382,98.1078,94.5281,98.0666,11.9241
133.000,33.18,50.000,50.027,11.9294,98.0691,98.0384,94.4587,98.3548,11.9205
134.000,35.00,50.000,49.994,11.9146,97.9999,97.9690,94.3893,98.2061,11.9018
135.000,36.67,50.000,50.174,11.8891,97.9308,97.8996,94.3198,98.0729,11.8814
136.000,38.33,50.000,50.141,11.8749,97.8617,97.8301,94.2503,98.0495,11.8680
137.000,40.00,50.000,50.187,11.8459,97.7925,97.7606,94.1809,97.7440,11.8449
138.000,41.67,50.000,50.163,11.8329,97.7234,97.6912,94.1115,97.4795,11.8249
139.000,43.33,50.000,50.115,11.8289,97.6542,97.6219,94.0422,97.4149,11.8122
140.000,45.00,50.000,50.022,11.8137,97.5851,97.5524,93.9727,97.6015,11.8086
141.000,46.67,50.000,50.132,11.7789,97.5159,97.4830,93.9033,97.3260,11.7878
142.000,48.33,50.000,50.102,11.7934,97.4468,97.4136,93.8339,97.5113,11.7844
143.000,50.00,45.773,46.006,11.8060,97.3777,97.3442,93.7645,97.2024,11.8202
144.000,50.00,45.773,45.782,11.8003,97.3145,97.2805,93.7008,97.1704,11.8153
145.000,50.00,45.773,46.007,11.8016,97.2513,97.2169,93.6372,97.1043,11.8035
146.000,50.00,45.773,45.843,11.7965,97.1882,97.1532,93.5735,96.9583,11.7947
147.000,50.00,45.773,45.847,11.7734,97.1250,97.0895,93.5097,96.8981,11.7868
148.000,50.00,45.773,45.909,11.7878,97.0618,97.0258,93.4460,96.9335,11.7816
149.000,50.00,45.773,45.887,11.7871,96.9986,96.9621,93.3824,96.9837,11.7781
150.000,50.00,45.773,45.949,11.7556,96.9354,96.8984,93.3187,96.7023,11.7630
151.000,50.00,45.773,46.008,11.7396,96.8722,96.8347,93.2550,96.4097,11.7479
152.000,50.00,45.773,45.758,11.7524,96.8091,96.7710,93.1912,96.5190,11.7504
153.000,50.00,45.773,45.915,11.7592,96.7459,96.7072,93.1275,96.6192,11.7473
154.000,50.00,45.773,45.851,11.7422,96.6827,96.6435,93.0638,96.2175,11.7309
155.000,50.00,-15.357,-15.095,12.5672,96.6199,96.5802,93.0005,96.3031,12.5529
156.000,48.12,-15.660,-15.468,12.6002,96.6414,96.6017,93.0220,96.7115,12.5983
157.000,46.25,-15.862,-15.622,12.6251,96.6629,96.6231,93.0434,96.8076,12.6294
158.000,44.38,-15.968,-15.783,12.6618,96.6854,96.6449,93.0652,96.8745,12.6586
159.000,42.50,-15.980,-15.832,12.6723,96.7080,96.6669,93.0872,96.9090,12.6843
160.000,40.63,-15.904,-15.866,12.7056,96.7307,96.6887,93.1090,96.9694,12.7097
161.000,38.75,-15.743,-15.564,12.7225,96.7524,96.7102,93.1305,96.9010,12.7252
162.000,36.87,-15.500,-15.346,12.7409,96.7738,96.7317,93.1520,96.9245,12.7440
163.000,35.00,23.354,23.397,12.2501,96.7950,96.7528,93.1731,97.0681,12.2455
164.000,35.00,23.354,23.511,12.2219,96.7628,96.7205,93.1408,96.7120,12.2320
165.000,35.00,23.354,23.531,12.2425,96.7306,96.6883,93.1085,96.6375,12.2293
166.000,35.00,23.354,23.448,12.2475,96.6985,96.6560,93.0762,96.6479,12.2309
167.000,35.00,23.354,23.594,12.2344,96.6663,96.6237,93.0440,96.5985,12.2273
168.000,35.00,23.354,23.486,12.2078,96.6341,96.5914,93.0117,96.2946,12.2188
169.000,35.00,23.354,23.363,12.2042,96.6019,96.5591,92.9794,96.2653,12.2197
170.000,35.00,23.354,23.617,12.2369,96.5697,96.5268,92.9471,96.3711,12.2199
171.000,35.00,23.354,23.340,12.2414,96.5375,96.4945,92.9148,96.3525,12.2233
172.000,35.00,23.354,23.352,12.2199,96.5053,96.4623,92.8825,96.2629,12.2204
173.000,35.00,23.354,23.547,12.2268,96.4732,96.4300,92.8502,96.2817,12.2187
174.000,35.00,23.354,23.525,12.2332,96.4410,96.3977,92.8179,96.2985,12.2198
175.000,35.00,23.354,23.530,12.2325,96.4088,96.3653,92.7856,96.3577,12.2220
176.000,35.00,23.354,23.591,12.2246,96.3766,96.3331,92.7534,96.3241,12.2203
177.000,35.00,23.354,23.555,12.2018,96.3444,96.3008,92.7211,96.1299,12.2145
178.000,35.00,-38.659,-38.584,13.0669,96.3126,96.2690,92.6892,96.1611,13.0549
179.000,31.50,-35.521,-35.463,13.0737,96.3642,96.3203,92.7406,96.5322,13.0556
180.000,28.00,-32.153,-32.170,13.0373,96.4112,96.3671,92.7874,96.6722,13.0433
181.000,24.50,-28.581,-28.326,13.0079,96.4534,96.4091,92.8294,96.6741,13.0159
182.000,21.00,-24.830,-24.746,12.9927,96.4905,96.4460,92.8663,96.7943,12.9933
183.000,17.50,-20.926,-20.700,12.9409,96.5223,96.4776,92.8979,96.7898,12.9575
184.000,14.00,-16.894,-16.875,12.9288,96.5485,96.5037,92.9240,96.6750,12.9182
185.000,10.50,-12.760,-12.636,12.8643,96.5691,96.5241,92.9444,96.6961,12.8752
186.000,7.00,-8.549,-8.394,12.8326,96.5839,96.5387,92.9590,96.8258,12.8331
187.000,3.50,-4.287,-4.062,12.7607,96.5928,96.5474,92.9677,96.5057,12.7722
188.000,0.00,0.000,0.078,12.7228,96.5958,96.5502,89.9613,96.6739,12.7279
189.000,0.00,0.000,0.029,12.7449,96.5958,96.5502,87.8903,96.8166,12.7380
190.000,0.00,0.000,0.098,12.7318,96.5958,96.5502,87.4462,96.5300,12.7319
191.000,0.00,0.000,0.054,12.7479,96.5958,96.5502,88.4133,96.8860,12.7487
192.000,0.00,0.000,0.045,12.7447,96.5958,96.5502,88.1892,96.5923,12.7430
193.000,0.00,0.000,0.041,12.7454,96.5958,96.5502,88.7666,96.7406,12.7519
194.000,0.00,0.000,0.171,12.7505,96.5958,96.5502,89.1374,96.7590,12.7545
195.000,0.00,0.000,0.156,12.7620,96.5958,96.5502,89.5901,96.8368,12.7609
196.000,0.00,0.000,0.252,12.7694,96.5958,96.5502,89.5200,96.6868,12.7580
197.000,0.00,0.000,0.083,12.7737,96.5958,96.5502,89.9953,96.7332,12.7651
