time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
115.000,0.00,0.000,0.128,12.8367,98.8379,73.8104,95.6864,99.7443,12.8358
116.000,0.00,0.000,0.259,12.8499,98.8379,73.8104,95.9122,99.8631,12.8397
117.000,0.00,0.000,0.178,12.8194,98.8379,73.8104,95.6320,99.5817,12.8337
118.000,2.50,6.134,6.243,12.7407,98.8336,73.8060,95.2263,99.4170,12.7469
119.000,5.00,12.286,12.305,12.6802,98.8208,73.7930,95.2132,99.6380,12.6693
120.000,7.50,18.475,18.735,12.5887,98.7994,73.7714,95.1916,99.4155,12.5697
121.000,10.00,24.718,24.822,12.4886,98.7694,73.7412,95.1614,99.4495,12.4801
122.000,12.50,31.035,31.213,12.3795,98.7307,73.7022,95.1225,99.2500,12.3762
123.000,15.00,29.164,29.273,12.3768,98.6832,73.6545,95.0748,99.0876,12.3833
124.000,16.82,32.889,32.939,12.3248,98.6401,73.6112,95.0315,99.1571,12.3242
125.000,18.64,36.678,36.809,12.2562,98.5918,73.5628,94.9830,98.9557,12.2523
126.000,20.45,40.539,40.725,12.1683,98.5381,73.5090,94.9293,98.7562,12.1786
127.000,22.27,44.480,44.572,12.1206,98.4791,73.4498,94.8701,98.8548,12.1140
128.000,24.09,48.506,48.620,12.0193,98.4145,73.3850,94.8053,98.4671,12.0299
129.000,25.91,50.000,50.032,11.9994,98.3456,73.3159,94.7362,98.4168,11.9913
130.000,27.73,50.000,50.088,11.9635,98.2765,73.2465,94.6668,98.3523,11.9713
131.000,29.55,50.000,50.115,11.9684,98.2074,73.1772,94.5975,98.4463,11.9574
132.000,31.36,50.000,50.183,11.9183,98.1382,73.1078,94.5281,97.9297,11.9241
133.000,33.18,50.000,50.027,11.9294,98.0691,73.0384,94.4587,98.2186,11.9205
134.000,35.00,50.000,49.994,11.9146,97.9999,72.9690,94.3893,98.0724,11.9018
135.000,36.67,50.000,50.174,11.8891,97.9308,72.8996,94.3198,97.9414,11.8814
136.000,38.33,50.000,50.141,11.8749,97.8617,72.8301,94.2503,97.9199,11.8680
137.000,40.00,50.000,50.187,11.8459,97.7925,72.7606,94.1809,97.6171,11.8449
138.000,41.67,50.000,50.163,11.8329,97.7234,72.6912,94.1115,97.3552,11.8248
139.000,43.33,50.000,50.115,11.8289,97.6542,72.6219,94.0422,97.2924,11.8122
140.000,45.00,50.000,50.022,11.8137,97.5851,72.5524,93.9727,97.4801,11.8086
141.000,46.67,50.000,50.132,11.7789,97.5159,72.4830,93.9033,97.2070,11.7878
142.000,48.33,50.000,50.102,11.7934,97.4468,72.4136,93.8339,97.3935,11.7844
143.000,50.00,45.773,46.006,11.8060,97.3777,72.3442,93.7645,97.0870,11.8202
144.000,50.00,45.773,45.782,11.8003,97.3145,72.2805,93.7008,97.0567,11.8153
145.000,50.00,45.773,46.007,11.8016,97.2513,72.2169,93.6372,96.9923,11.8034
146.000,50.00,45.773,45.843,11.7965,97.1882,72.1532,93.5735,96.8482,11.7947
147.000,50.00,45.773,45.847,11.7734,97.1250,72.0895,93.5097,96.7897,11.7868
148.000,50.00,45.773,45.909,11.7878,97.0618,72.0258,93.4460,96.8265,11.7815
149.000,50.00,45.773,45.887,11.7871,96.9986,71.9621,93.3824,96.8780,11.7781
150.000,50.00,45.773,45.949,11.7556,96.9354,71.8984,93.3187,96.5987,11.7630
151.000,50.00,45.773,46.008,11.7396,96.8722,71.8347,93.2550,96.3082,11.7479
152.000,50.00,45.773,45.758,11.7524,96.8091,71.7710,93.1912,96.4187,11.7504
153.000,50.00,45.773,45.915,11.7592,96.7459,71.7072,93.1275,96.5200,11.7473
154.000,50.00,45.773,45.851,11.7422,96.6827,71.6435,93.0638,96.1204,11.7309
155.000,50.00,-15.357,-15.095,12.5672,96.6199,71.5802,93.0005,96.2073,12.5529
156.000,48.12,-15.660,-15.468,12.6002,96.6414,71.6017,93.0220,96.6163,12.5983
157.000,46.25,-15.862,-15.622,12.6251,96.6629,71.6231,93.0434,96.7138,12.6293
158.000,44.38,-15.968,-15.783,12.6618,96.6854,71.6449,93.0652,96.7820,12.6586
159.000,42.50,-15.980,-15.832,12.6723,96.7080,71.6669,93.0872,96.8179,12.6843
160.000,40.63,-15.904,-15.866,12.7056,96.7307,71.6887,93.1090,96.8796,12.7097
161.000,38.75,-15.743,-15.564,12.7225,96.7524,71.7102,93.1305,96.8127,12.7252
