Time [s],xung,SysTick,Task_SOC.c,Task_Voltage.c,Task_CAN.c,Task_Temperature.c,Channel 6,Channel 7
38.978356250,1,0,0,0,0,0,1,1
38.978356750,0,0,0,0,0,0,1,1
38.978357417,0,1,0,0,0,0,1,1
38.978357917,0,0,0,0,0,0,1,1
38.978367833,0,0,1,0,0,0,1,1
38.978393792,0,0,0,0,0,0,1,1
38.979356250,1,0,0,0,0,0,1,1
38.979356750,0,0,0,0,0,0,1,1
38.980356250,1,0,0,0,0,0,1,1
38.980356750,0,0,0,0,0,0,1,1
38.981356250,1,0,0,0,0,0,1,1
38.981356750,0,0,0,0,0,0,1,1
38.982356250,1,0,0,0,0,0,1,1
38.982356792,0,0,0,0,0,0,1,1
38.983356292,1,0,0,0,0,0,1,1
38.983356792,0,0,0,0,0,0,1,1
38.983357458,0,1,0,0,0,0,1,1
38.983357958,0,0,0,0,0,0,1,1
38.983367625,0,0,1,0,0,0,1,1
38.983393583,0,0,0,0,0,0,1,1
38.984356292,1,0,0,0,0,0,1,1
38.984356792,0,0,0,0,0,0,1,1
38.985356292,1,0,0,0,0,0,1,1
38.985356792,0,0,0,0,0,0,1,1
38.986356292,1,0,0,0,0,0,1,1
38.986356792,0,0,0,0,0,0,1,1
38.987356292,1,0,0,0,0,0,1,1
38.987356833,0,0,0,0,0,0,1,1
38.988356333,1,0,0,0,0,0,1,1
38.988356833,0,0,0,0,0,0,1,1
38.988357500,0,1,0,0,0,0,1,1
38.988358000,0,0,0,0,0,0,1,1
38.988368000,0,0,1,0,0,0,1,1
38.988393958,0,0,0,0,0,0,1,1
38.989356333,1,0,0,0,0,0,1,1
38.989356833,0,0,0,0,0,0,1,1
38.990356333,1,0,0,0,0,0,1,1
38.990356833,0,0,0,0,0,0,1,1
38.991356333,1,0,0,0,0,0,1,1
38.991356875,0,0,0,0,0,0,1,1
38.992356333,1,0,0,0,0,0,1,1
38.992356875,0,0,0,0,0,0,1,1
38.993356375,1,0,0,0,0,0,1,1
38.993356875,0,0,0,0,0,0,1,1
38.993357542,0,1,0,0,0,0,1,1
38.993358042,0,0,0,0,0,0,1,1
38.993367833,0,0,1,0,0,0,1,1
38.993393792,0,0,0,0,0,0,1,1
38.994356375,1,0,0,0,0,0,1,1
38.994356875,0,0,0,0,0,0,1,1
38.995356375,1,0,0,0,0,0,1,1
38.995356875,0,0,0,0,0,0,1,1
38.996356375,1,0,0,0,0,0,1,1
38.996356917,0,0,0,0,0,0,1,1
38.997356375,1,0,0,0,0,0,1,1
38.997356917,0,0,0,0,0,0,1,1
38.998356417,1,0,0,0,0,0,1,1
38.998356917,0,0,0,0,0,0,1,1
38.998357583,0,1,0,0,0,0,1,1
38.998358083,0,0,0,0,0,0,1,1
38.998367625,0,0,1,0,0,0,1,1
38.998393583,0,0,0,0,0,0,1,1
38.999356417,1,0,0,0,0,0,1,1
38.999356917,0,0,0,0,0,0,1,1
39.000356417,1,0,0,0,0,0,1,1
39.000356917,0,0,0,0,0,0,1,1
39.001356417,1,0,0,0,0,0,1,1
39.001356958,0,0,0,0,0,0,1,1
39.002356458,1,0,0,0,0,0,1,1
39.002356958,0,0,0,0,0,0,1,1
39.003356458,1,0,0,0,0,0,1,1
39.003356958,0,0,0,0,0,0,1,1
39.003357625,0,1,0,0,0,0,1,1
39.003358125,0,0,0,0,0,0,1,1
39.003368500,0,0,1,0,0,0,1,1
39.003394458,0,0,0,0,0,0,1,1
39.004356458,1,0,0,0,0,0,1,1
39.004356958,0,0,0,0,0,0,1,1
39.005356458,1,0,0,0,0,0,1,1
39.005356958,0,0,0,0,0,0,1,1
39.006356458,1,0,0,0,0,0,1,1
39.006357000,0,0,0,0,0,0,1,1
39.007356500,1,0,0,0,0,0,1,1
39.007357000,0,0,0,0,0,0,1,1
39.008356500,1,0,0,0,0,0,1,1
39.008357000,0,0,0,0,0,0,1,1
39.008357667,0,1,0,0,0,0,1,1
39.008358167,0,0,0,0,0,0,1,1
39.008369750,0,0,1,0,0,0,1,1
39.008395750,0,0,0,0,0,0,1,1
39.008405000,0,0,0,1,0,0,1,1
39.009356500,1,0,0,1,0,0,1,1
39.009357000,0,0,0,1,0,0,1,1
